[Result for RQ2]
                                   US       BR       IN      UK      NG
backend developer              12.121   31.944   20.455  17.045  18.434
frontend developer             11.910   25.257   17.043  11.191  34.600
security engineer              27.273   59.091    0.000  13.636   0.000
project manager                 0.000    8.571    0.000  40.000  51.429
data analyst                   17.460   18.095   13.968  12.381  38.095
full stack developer           15.412   33.529   21.059  11.294  18.706
web developer                   5.917   28.994   23.669  14.201  27.219
junior developer                6.767   22.180   42.857  18.421   9.774
wordpress developer             0.000   42.857   23.810  33.333   0.000
data scientist                 12.766   23.050    7.092  29.787  27.305
devops engineer                18.713   15.497   25.731  23.099  16.959
software developer             16.667   29.630   24.074  16.667  12.963
junior software engineer        0.000    7.692   15.385  53.846  23.077
product manager                17.778    0.000   15.556  22.222  44.444
ui/ux designer                 34.066   23.077   26.374   8.791   7.692
mobile developer                2.299   27.586   31.034  18.966  20.115
data engineer                  21.711   27.632   15.789  18.421  16.447
blockchain developer            0.000    0.000    4.444  22.222  73.333
machine learning engineer      11.494    1.149   40.230  27.586  19.540
qa engineer                    21.739   52.174    8.696   8.696   8.696
cybersecurity specialist       41.096    4.110    5.479  28.767  20.548
cloud architect                 0.000    7.143   35.714  57.143   0.000
python developer               13.514   18.919    2.703  24.324  40.541
game developer                 15.957   30.851    4.255  40.426   8.511
cloud developer                 0.000    4.545   45.455  31.818  18.182
software engineer              27.160   16.049   14.198  19.136  23.457
react developer                 0.000    0.000   95.000   5.000   0.000
junior web developer           46.154    7.692    0.000  15.385  30.769
backend engineer               37.931   41.379    0.000  20.690   0.000
ux designer                    12.500   18.750    0.000  34.375  34.375
flutter developer               0.000    0.000    0.000  90.000  10.000
ai/machine learning engineer   15.789   21.053    0.000  63.158   0.000
ai engineer                    20.000    0.000    5.000  65.000  10.000
ai/ml engineer                 14.286    0.000   14.286  66.667   4.762
cybersecurity developer        38.462    0.000    7.692  23.077  30.769
ai/ml developer                 0.000    0.000   86.667  13.333   0.000
java developer                  0.000   88.235    5.882   5.882   0.000
ux/ui designer                  7.692   38.462    0.000  23.077  30.769
business intelligence analyst  53.846    0.000    0.000  46.154   0.000
cloud engineer                  0.000   64.706   29.412   0.000   5.882
mlops engineer                  0.000    0.000  100.000   0.000   0.000
android developer              50.000    0.000   50.000   0.000   0.000
senior software engineer       38.889   16.667   44.444   0.000   0.000
business analyst               47.368    0.000   52.632   0.000   0.000
senior full stack developer    58.333    0.000   41.667   0.000   0.000
qa tester                       0.000   90.000    0.000   0.000  10.000
embedded systems engineer      38.462   61.538    0.000   0.000   0.000
front end developer            26.667   73.333    0.000   0.000   0.000
robotics engineer              90.000   10.000    0.000   0.000   0.000
ios developer                  64.286   35.714    0.000   0.000   0.000
embedded systems developer      0.000  100.000    0.000   0.000   0.000
cloud specialist                0.000  100.000    0.000   0.000   0.000

