[Result for RQ2]
                                                 US       BR       IN       UK       NG
python developer                             27.778   20.370    1.852   35.185   14.815
frontend developer                            1.316   17.895   18.684    8.947   53.158
data analyst                                 15.049   14.563   16.505   19.417   34.466
full stack developer                         10.175   34.386   21.579   15.789   18.070
web3 developer                               36.364    0.000   63.636    0.000    0.000
software developer                           18.197   30.442   26.871   12.755   11.735
cybersecurity specialist                      4.348    0.000   13.043   52.174   30.435
wordpress developer                           0.000   28.000   32.000   40.000    0.000
data scientist                               12.941   16.863    8.235   43.137   18.824
ai developer                                 31.034    6.897    6.897   31.034   24.138
devops engineer                               4.651    6.977   25.581   25.581   37.209
game developer                               23.711   30.928    4.124   40.206    1.031
backend developer                            14.414   35.135   12.613    4.505   33.333
data engineer                                22.034   32.203   16.949    8.475   20.339
programmer                                   17.241    6.897   37.931    3.448   34.483
software engineer                            14.355   16.545   14.842   22.141   32.117
oracle apps dba                               0.000    0.000  100.000    0.000    0.000
mern stack developer                          0.000    0.000  100.000    0.000    0.000
business analyst                             10.714    0.000   67.857   17.857    3.571
web developer                                10.035   20.415   38.754   10.727   20.069
developer                                    14.130   16.848   19.022   23.370   26.630
computer science student                      0.000   55.556   11.111   33.333    0.000
web designer                                  0.000    0.000   10.000    0.000   90.000
data science enthusiast                      25.000    0.000   75.000    0.000    0.000
opensource developer                          0.000    0.000  100.000    0.000    0.000
machine learning engineer                     5.000    0.000   35.000   35.000   25.000
android architect                             0.000    0.000  100.000    0.000    0.000
android developer                            31.250    0.000   68.750    0.000    0.000
ai/ml developer                               0.000    0.000   63.636   36.364    0.000
junior developer                             20.652   15.217   35.870   27.174    1.087
ui/ux designer                               46.341   24.390   29.268    0.000    0.000
machine learning enthusiast                   0.000    0.000   92.857    0.000    7.143
product designer                              0.000    0.000   33.333   19.048   47.619
ux designer                                   0.000   76.923    7.692    0.000   15.385
android app developer                         0.000    0.000  100.000    0.000    0.000
java full stack developer                     0.000    0.000  100.000    0.000    0.000
sdet                                          0.000    0.000  100.000    0.000    0.000
intern                                        0.000   16.667   83.333    0.000    0.000
