login,location,bio,pronouns,createdAt
Username_45462,Caracas,"Full stack web developer
",,2022-01-01T00:08:44Z
Username_45463,Downtown Los Angeles," Designer of Stilettoes 
CEO.",,2022-01-01T00:05:29Z
Username_45464,"Peru, Cusco",Doctorate in Engineering: MANAGEMENT AND POLICY OF INNOVATION AND TECHNOLOGY. MBA and Master’s degree in Finance with highly experience in the Telecommunication,,2022-01-01T00:03:31Z
Username_45465,Kansas,"i do code sometimes, like recreating an entire portal because my district doesn't know how to make a website",,2022-01-01T00:17:43Z
Username_45466,Coding under the sun of Bandar Abbas,"Front-End focused, with a growing curiosity for the Back-End",he/him,2022-01-01T00:28:13Z
Username_45467,Toronto,"UofT - CS, Statistics, Business",,2022-01-01T00:22:48Z
Username_45468,Lithuania,"Junior Backend Developer. Java, Javascript, TypeScript,  C#, C/C++, CSS. Frameworks: Spring, React, Sass, TailWind, AWS, JUnit. IDE's:Visual Studio 2022,VS code",,2022-01-01T00:38:15Z
Username_45469,Argentina,Welcome to my mind.,,2022-01-01T00:34:39Z
Username_45470,Space,"🕹️ Side questing through Python and machine learning—final boss: cybersecurity mastery.
",,2022-01-01T00:32:31Z
Username_45471,"Salt Lake City, UT, USA","SLC, UT.",,2022-01-01T00:37:19Z
Username_45472,"Accra, Ghana","I'm a passionate software engineer with experience in building user-friendly websites, web apps, and mobile applications using React, Next.js, and React Native,",,2022-01-01T00:41:18Z
Username_45473,Waterloo,"I am a Data Analyst with more than 5 years of experience working with Microsoft Azure, Google BigQuery (GCP), Python, R and data visualization.",,2022-01-01T00:41:40Z
Username_45474,Atlanta,"A data aggregation API providing financial performance, benchmarking, & tax analysis for global cryptocurrency + NFT assets",,2022-01-01T00:47:05Z
Username_45475,Nantes,Jeune développeur web en formation !,,2022-01-01T00:45:48Z
Username_45476,Remote,Full Stack Software Developer Engineer,,2022-01-01T00:40:11Z
Username_45477,São Paulo - Brasil,Frontend Developer | Gamer | Tech & Sciences,,2022-01-01T00:44:40Z
Username_45478,"Tunja, Colombia",Beginner Cuber,,2022-01-01T00:56:37Z
Username_45479,"Kuala Lumpur , Malaysia","tu ta ta tu ta ta ta
",he/him,2022-01-01T00:52:15Z
Username_45480,"Portland, OR",If I were anything other than human... I'd be the indents in your properly formatted code.,,2022-01-01T01:09:55Z
Username_45481,United States,Computer Science Major,he/him,2022-01-01T01:01:41Z
Username_45482,Northeast USA,"38 year old engineer@HGSI turned radonc physician @UMMC, then gene therapy @Regenxbio. Started an LLC and need to make a website. Clueless but excited.",,2022-01-01T01:03:48Z
Username_45483,"Montreal, Canada","Dev in dev
⌛
",,2022-01-01T01:10:56Z
Username_45484,Washington,Software Developer,she/her,2022-01-01T01:12:23Z
Username_45485,"Gold Coast, Queensland, Australia",Software Engineer,,2022-01-01T01:18:41Z
Username_45486,"Normal, Alabama, USA.","I am a hardworking, dedicated and forward thinking Electrical Engineering student. I love programming and engineering. I am always willing to learn more",,2022-01-01T01:20:40Z
Username_45487,Poland,"17 year old future Full-Stack Developer from the 3City in Poland.
Learning to Code, Create, and Connect with People.",he/him,2022-01-01T01:25:25Z
Username_45488,"Harbin Engineering University, Nangang District, Harbin, China",ybb,,2022-01-01T01:20:50Z
Username_45489,Dominican Republic,"Former military👮🏾‍♂️
System comp. engineer est.⚙
Not signed baseball players investor⚾️💰
Trademark/Copyright agent.
Crypto investor & miner.",,2022-01-01T01:25:06Z
